"","postgresID","SessionDateTime","final_role","Email","Organization","Attended","DisciplinesRepresented","OrgType","city","state","latitude","longitude","community_area"
"234","975","4/22/2020 - 2PM","Executive Director","61b12e19","833a5e82","Y","Music","Partner","Chicago","IL",41.99319,-87.69826,"West Town"
"235","985","4/16/2020 - 9AM","Program Manager","b9feb837","6a580098","Y","Theatre","Partner","Chicago","IL",41.69294,-87.68072,"Lake View"
"236","985","4/22/2020 - 2PM","Executive Director","b9feb837","6a580098","Y",NA,"Partner","Chicago","IL",41.89969,-87.68142,"Lake View"
"237","795","5/04/2020 - 2PM","Teacher","d984f4cf","0f398328","N",NA,"District",NA,NA,42.01709,-87.67803,NA
"238","795","5/06/2020 - 3PM","CPS Administrator","2cb2606d","b074d03a","N",NA,"District",NA,NA,41.95542,-87.684,NA
"239","795","05/06/2020 - 9AM","CPS Administrator","6850f06b","30fd0f29","Y",NA,"District",NA,NA,41.6881,-87.68563,NA
"240","795","4/22/2020 - 2PM","CPS Administrator","6850f06b","fce870ec","Y","Visual Art;Music;Theatre;Dance;Media Arts;Mutli-disciplinary","District",NA,NA,41.85567,-87.65819,NA
"241","795","05/20/2020 - 9AM","CPS Administrator","6850f06b","30fd0f29","Y",NA,"District",NA,NA,41.85282,-87.71286,NA
"242","795","4/27/2020 - 1PM","CPS Administrator","6850f06b","fce870ec","Y",NA,"District",NA,NA,41.97317,-87.8416,NA
"243","795","5/06/2020 - 3PM","CPS Administrator","6850f06b","fce870ec","N",NA,"District",NA,NA,41.92351,-87.7053,NA
"244","795","5/04/2020 - 2PM","CPS Administrator","6850f06b","fce870ec","Y",NA,"District",NA,NA,41.82224,-87.70033,NA
"245","999999","4/20/2020 - 2PM","Executive Director","d522a7ab","15da3487","Y",NA,"Other",NA,NA,41.74559,-87.71863,NA
"246","999999","4/20/2020 - 2PM","Executive Director","54fa6189","15da3487","Y",NA,"Other",NA,NA,42.00951,-87.70491,NA
"247","999999","5/04/2020 - 2PM","Community Member","4d167e23","55fe1f91","N",NA,"Other",NA,NA,41.94256,-87.81359,NA
"248","999999","4/27/2020 - 1PM","Community Member","4d167e23","55fe1f91","Y",NA,"Other",NA,NA,41.74313,-87.61101,NA
"249","999999","4/20/2020 - 2PM","Community Member","4d167e23","55fe1f91","Y",NA,"Other",NA,NA,41.83064,-87.61228,NA
"250","999999","05/06/2020 - 9AM","Executive Director","07c1b452","98bee77f","Y",NA,"Other",NA,NA,41.84418,-87.62886,NA
"251","999999","05/20/2020 - 9AM","Executive Director","07c1b452","2270a47e","Y",NA,"Other",NA,NA,41.7257,-87.63046,NA
"252","999999","05/15/2020 - 11AM","Executive Director","104bc376","8aa86745","Y",NA,"Other",NA,NA,41.91572,-87.67449,NA
"253","999999","05/15/2020 - 11AM","Executive Director","88ef672f","55fe1f91","Y",NA,"Other",NA,NA,41.78165,-87.67567,NA
"254","999999","05/20/2020 - 9AM","Executive Director","88ef672f","55fe1f91","Y",NA,"Other",NA,NA,41.77463,-87.70834,NA
"255","999999","05/06/2020 - 9AM","Executive Director","88ef672f","55fe1f91","Y",NA,"Other",NA,NA,41.87608,-87.71647,NA
"256","795","4/20/2020 - 2PM","CPS Administrator","d9a2bc45","0f398328","Y",NA,"District",NA,NA,41.68911,-87.66952,NA
"257","999999","5/04/2020 - 2PM","Teaching Artist","2428d7b5","d50ef3c1","N",NA,"Other",NA,NA,41.93559,-87.75061,NA
"258","795","4/20/2020 - 2PM","CPS Administrator","1aec22aa","fce870ec","Y",NA,"District",NA,NA,42.00465,-87.81082,NA
"259","795","4/23/2020 - 10AM","CPS Administrator","1aec22aa","dd3b5eed","Y",NA,"District",NA,NA,41.68575,-87.62205,NA
"260","795","5/07/2020 - 9AM","CPS Administrator","1aec22aa","fce870ec","Y",NA,"District",NA,NA,41.99944,-87.76184,NA
"261","795","4/16/2020 - 9AM","CPS Administrator","fad1ff4c","30fd0f29","Y",NA,"District",NA,NA,41.8809312,-87.7640378,NA
"262","795","4/30/2020 - 9AM","CPS Administrator","fad1ff4c","fce870ec","Y","Multi-disciplinary","District",NA,NA,41.7816454,-87.6756705,NA
"263","795","4/16/2020 - 12PM","CPS Administrator","fad1ff4c","30fd0f29","Y","Multi-disciplinary","District",NA,NA,41.7674131,-87.5904757,NA
"264","999999","05/20/2020 - 9AM","Executive Director","832122b2","d0479128","Y",NA,"Other",NA,NA,42.00971,-87.67009,NA
"265","999999","05/06/2020 - 9AM","Executive Director","832122b2","d0479128","Y",NA,"Other",NA,NA,41.78526,-87.60852,NA
"266","999999","4/27/2020 - 1PM","Program Manager","a690541a","001f39da","Y",NA,"Other",NA,NA,41.85045,-87.70459,NA
"267","999999","4/22/2020 - 2PM","Teacher","dfd052ed","37fbab26","Y","Media Arts;Mutli-disciplinary;Other","Other",NA,NA,41.92111,-87.75788,NA
"268","999999","5/06/2020 - 3PM","Teaching Artist","ff50c1f7","1e19946a","Y",NA,"Other",NA,NA,41.72992,-87.65497,NA
"269","795","05/07/2020 - 4PM","CPS Administrator","fad1ff4c","fce870ec","Y",NA,"District",NA,NA,41.87031,-87.7023,NA
"270","795","05/07/2020 - 4PM","CPS Administrator","6850f06b","fce870ec","Y",NA,"District",NA,NA,41.90607,-87.63596,NA
"271","795","05/11/2020 - 4PM","CPS Administrator","1aec22aa","fce870ec","Y",NA,"District",NA,NA,41.73863,-87.66856,NA
"272","999999","05/15/2020 - 11AM","Program Manager","dfa86f0c","72bb439f","Y",NA,"Other",NA,NA,41.91775,-87.71713,NA
"273","999999","05/06/2020 - 9AM","Program Manager","1e9d7897","a9fface6","Y",NA,"Other",NA,NA,41.97606,-87.79589,NA
"274","999999","05/15/2020 - 11AM","Program Manager","1e9d7897","a9fface6","Y",NA,"Other",NA,NA,41.83788,-87.71876,NA
"275","999999","05/20/2020 - 9AM","Program Manager","1e9d7897","a9fface6","Y",NA,"Other",NA,NA,41.7252,-87.62312,NA
"276","999999","05/15/2020 - 11AM","Program Manager","4a7ae791","72bb439f","Y",NA,"Other",NA,NA,41.76063,-87.67638,NA
"277","999999","05/06/2020 - 9AM","Program Manager","7ebf5713","2270a47e","Y",NA,"Other",NA,NA,41.81342,-87.64323,NA
"278","999999","05/20/2020 - 9AM","Program Manager","7ebf5713","2270a47e","Y",NA,"Other",NA,NA,41.94909,-87.75741,NA
"279","999999","05/20/2020 - 9AM","Program Manager","e9bb69da","a6e5e236","Y",NA,"Other",NA,NA,41.83827,-87.71769,NA
"280","999999","05/06/2020 - 9AM","Program Manager","e9bb69da","a6e5e236","Y",NA,"Other",NA,NA,41.77565,-87.75841,NA
"281","999999","05/15/2020 - 11AM","Community Member","c09f699a","e87564ca","Y",NA,"Other",NA,NA,41.74415,-87.55304,NA
"282","999999","05/15/2020 - 11AM","Community Member","08f91838","b4754b21","Y",NA,"Other",NA,NA,41.80729,-87.66099,NA
"283","999999","05/15/2020 - 11AM","Community Member","432f5562","f9890d2c","Y",NA,"Other",NA,NA,41.85253,-87.69589,NA
"284","999999","05/15/2020 - 11AM","Community Member","07c1b452","2270a47e","Y",NA,"Other",NA,NA,41.84945,-87.68694,NA
"285","999999","05/15/2020 - 11AM","Community Member","7ebf5713","2270a47e","Y",NA,"Other",NA,NA,41.91464,-87.72347,NA
